job name,posted time,job time,job address,company name,link
Data Analysis Instructor (Excel - Power BI),3 days ago,Full Time,"Nasr City, Cairo, Egypt ",EpsilonAI ,https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Data Analyst - Cairo,1 month ago,Part Time,"Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=2&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,14 days ago,Freelance / Project,"Maadi, Cairo, Egypt ",Hands of Hope Physical Therapy & Wellness ,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=3&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,15 days ago,Full Time,"New Cairo, Cairo, Egypt ",Gila Electric ,https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=4&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Data Scientist,20 days ago,Full Time,"Sheraton, Cairo, Egypt ",Fixed Solutions ,https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Engineer,20 days ago,Full Time,"Maadi, Cairo, Egypt ",Cilantro ,https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=6&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,20 days ago,Full Time,"Alexandria, Egypt ",Lecico Egypt ,https://wuzzuf.net/jobs/p/123dzktUWSha-Data-Analyst-Lecico-Egypt-Alexandria-Egypt?o=7&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst - Quality Assurance Department,24 days ago,Full Time,"Heliopolis, Cairo, Egypt ",IdealRatings ,https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=8&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Data Engineer- Banha,1 month ago,Full Time,"Qalubia, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=9&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Junior Data Engineer - Benha,1 month ago,Full Time,"Banha, Qalubia, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/njfYW6M0SxCi-Junior-Data-Engineer---Benha-Z2-Data-Qalubia-Egypt?o=10&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Data Analyst,1 month ago,Full Time,"Nasr City, Cairo, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=11&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Senior Financial Data Analyst,1 month ago,Full Time,"Nasr City, Cairo, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/r23QlbZLj34c-Senior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=12&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Junior Financial Data Analyst,1 month ago,Full Time,"Nasr City, Cairo, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/JeFJXhJWDb4O-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=13&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
